epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
147,2186.58,0.48164,0.37574,0.97601,0.90393,0.86197,0.90509,0.78191,0.60636,0.60102,1.02252,0.000435391,0.000435391,0.000435391
148,2201.31,0.47431,0.3562,0.97444,0.92547,0.89499,0.92394,0.80777,0.56802,0.44733,0.99044,0.000431523,0.000431523,0.000431523
149,2215.95,0.49568,0.37177,0.98311,0.94359,0.8615,0.91871,0.8019,0.56959,0.43755,0.98673,0.000427656,0.000427656,0.000427656
150,2230.69,0.48613,0.37215,0.975,0.95138,0.89466,0.93008,0.8091,0.61031,0.43575,1.02927,0.000423789,0.000423789,0.000423789
151,2245.13,0.48111,0.357,0.97745,0.9206,0.87895,0.91048,0.79178,0.62152,0.48752,1.05574,0.000419922,0.000419922,0.000419922
152,2259.64,0.48294,0.36014,0.98187,0.90274,0.91454,0.92238,0.79966,0.59429,0.47504,1.02676,0.000416055,0.000416055,0.000416055
153,2274.77,0.49979,0.38106,0.98298,0.90918,0.89098,0.93284,0.81801,0.57243,0.46927,0.99842,0.000412188,0.000412188,0.000412188
154,2289.69,0.47501,0.35169,0.9754,0.88926,0.90307,0.93016,0.80343,0.62593,0.46665,1.04932,0.00040832,0.00040832,0.00040832
155,2304.34,0.48373,0.35871,0.97442,0.91418,0.90623,0.93857,0.81535,0.60991,0.43989,1.03865,0.000404453,0.000404453,0.000404453
156,2318.94,0.46472,0.35521,0.97894,0.8896,0.90542,0.92844,0.8085,0.62248,0.46306,1.05552,0.000400586,0.000400586,0.000400586
157,2333.77,0.46986,0.35362,0.97752,0.94492,0.88508,0.92987,0.81895,0.59315,0.42228,1.02226,0.000396719,0.000396719,0.000396719
158,2348.54,0.45826,0.3488,0.96018,0.94441,0.89166,0.93855,0.82599,0.60222,0.39916,1.03089,0.000392852,0.000392852,0.000392852
159,2363.58,0.47088,0.36558,0.97081,0.95108,0.86694,0.9162,0.80339,0.62599,0.47418,1.05564,0.000388984,0.000388984,0.000388984
160,2378.38,0.45169,0.3409,0.9568,0.9318,0.87497,0.92535,0.80675,0.63737,0.47473,1.07388,0.000385117,0.000385117,0.000385117
161,2392.84,0.47959,0.36496,0.97565,0.93203,0.88113,0.93249,0.82071,0.5754,0.42413,1.02165,0.00038125,0.00038125,0.00038125
162,2407.49,0.47491,0.35757,0.97006,0.92627,0.88247,0.92544,0.80544,0.63744,0.44809,1.0531,0.000377383,0.000377383,0.000377383
163,2422.08,0.47741,0.35315,0.97032,0.94502,0.87823,0.91813,0.80027,0.61974,0.50577,1.03975,0.000373516,0.000373516,0.000373516
164,2436.71,0.47026,0.35441,0.9686,0.94838,0.89706,0.92921,0.8078,0.63087,0.46034,1.04858,0.000369648,0.000369648,0.000369648
165,2451.73,0.47268,0.3462,0.9662,0.94582,0.88475,0.93883,0.81391,0.63394,0.50746,1.04288,0.000365781,0.000365781,0.000365781
166,2466.82,0.4661,0.34364,0.97036,0.92942,0.89925,0.93756,0.81204,0.6376,0.45929,1.05319,0.000361914,0.000361914,0.000361914
